nama_tempat,latitude,longitude
Ancol,-6.1280857,106.8448651
Bellagio Boutique Mall,-6.2274301,106.8243968
Cawang Uki,-6.25030685,106.8735803
Cilandak Town Square,-6.2914692,106.7999496
Dunia Fantasi,-6.1230369,106.8320573
Galeri Nasional,-6.1783692,106.8329194
Gandaria City,-6.2439607,106.783657
Gelanggang Olahraga Bung Karno,-6.2186366,106.8035787
Halim Perdana Kusuma,-6.2655682,106.8936385
Istana Negara,-6.16828555,106.8239151
Jakarta International Expo,-6.1462461,106.8460784
Jakarta Kidney Center,-6.2848494,106.8260296
Kampung Main Cipulir,-6.2334613,106.7657147
Katedral Jakarta,-6.1692046,106.8332373
KidZania Jakarta,-6.224633,106.8094502
Kota Kasablanka,-6.22308595,106.842788
Lippo Mall Kemang,-6.2615587,106.8128571
Mall Mangga Dua,-6.137297,106.8234357
Masjid Istiqlal,-6.1702779,106.8310435
Monas,-6.1753936,106.827186
Monumen Pancasila Sakti,-6.28833365,106.9069004
Monumen Selamat Datang,-6.1949789,106.8230733
Museum Layang-layang Indonesia,-6.30783925,106.7906265
Museum Nasional,-6.17614245,106.8221879
Museum Sumpah Pemuda,-6.1837952,106.8430476
Museum Taman Prasasti,-6.17238185,106.8195206
One Belpark,-6.3046269,106.7950853
Pasaraya Blok M,-6.24443395,106.802424
Pejaten Village,-6.2801864,106.8287068
Planetarium Jakarta,-6.1902836,106.8392195
Plaza Orion,-6.14314435,106.8156843
Plaza Semanggi,-6.21979895,106.8145923
Plaza Senayan,-6.22558405,106.7995999
Politeknik Statistika STIS,-6.23158575,106.8666875
Pondok Indah Mall 1,-6.26532765,106.7846576
Pondok Indah Waterpark,-6.26714625,106.7845212
Ragunan Zoo,-6.3114056,106.8216699
RSIA SamMarie Basra,-6.22921895,106.8972446
RSPAD Gatot Subroto,-6.1765523,106.8388123
Rumah Sakit Gandaria,-6.2439127,106.7907545
Senayan City,-6.22731785,106.7971795
Stasiun Cawang,-6.2424394,106.8586843
Stasiun Gambir,-6.1766841,106.8306534
Stasiun Pasar Senen,-6.1744969,106.8444789
Stasiun Tebet,-6.2260164,106.858396
Taman Ayodya,-6.2452139,106.7945886
Taman Fatahillah,-6.1346681,106.8132516
Taman Honda,-6.23728895,106.8530194
Taman Ismail Marzuki,-6.18942535,106.8397001
Taman Menteng,-6.1959854,106.829518
Taman Mini Indonesia Indah,-6.30283465,106.8953016
The Dharmawangsa Square,-6.2531412,106.8016064
Universitas Indonesia,-6.3596838,106.8272392
Universitas Trisakti,-6.16767385,106.7903503
